year,firstServe1,firstServe2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2
2013,57,52,73,65,61,46
2013,55,58,84,84,61,51
2013,64,51,66,80,48,45
2013,45,67,79,59,51,38
2013,49,58,73,75,52,46
2013,59,46,79,69,44,51
2013,52,56,75,65,45,48
2013,67,63,78,60,65,39
2013,57,63,67,66,76,44
2013,51,62,90,70,63,43
2013,63,69,77,65,51,53
2013,52,47,69,72,54,39
2013,68,55,72,72,60,48
2013,71,59,81,73,70,57
2013,64,58,66,66,58,43
2013,48,54,76,64,51,38
2013,56,62,65,61,53,48
2013,55,69,87,67,57,31
2013,59,62,69,57,59,43
2013,60,51,77,68,49,38
2013,65,59,73,66,47,47
2013,64,64,72,63,61,44
2013,46,46,80,53,60,53
2013,65,61,69,71,46,46
2013,63,55,78,67,63,48
2013,55,52,81,77,52,39
2013,58,43,71,82,52,52
2013,74,47,71,37,53,33
2013,59,53,60,59,51,51
2013,64,51,93,66,78,48
2013,57,65,74,62,54,50
2013,55,55,76,78,50,43
2013,58,61,82,66,63,48
2013,52,71,76,74,53,47
2013,65,63,76,54,63,50
2013,57,62,73,57,42,44
2013,84,56,80,46,50,26
2013,55,55,80,74,40,48
2013,57,59,67,74,51,43
2013,66,51,82,64,50,47
2013,63,64,84,77,45,60
2013,51,46,71,69,59,55
2013,62,68,76,72,57,50
2013,55,51,86,80,70,50
2013,44,62,74,61,57,33
2013,56,46,77,76,70,51
2013,59,38,73,68,53,40
2013,56,53,69,72,56,44
2013,58,58,74,66,45,47
2013,63,64,77,70,45,47
2013,73,56,82,51,58,37
2013,70,83,80,73,55,52
2013,62,48,81,69,66,51
2013,61,58,77,68,61,50
2013,58,57,74,62,47,36
2013,53,59,78,83,63,41
2013,57,67,70,67,56,55
2013,46,49,70,53,46,45
2013,50,57,75,62,51,56
2013,52,58,75,83,62,35
2013,52,51,73,67,50,41
2013,62,66,78,70,57,46
2013,59,61,74,72,45,47
2013,60,54,79,70,69,41
2013,43,64,89,59,67,42
2013,65,58,75,63,39,37
2013,51,49,63,65,50,36
2013,57,60,74,78,67,45
2013,64,63,85,68,61,51
2013,52,53,73,65,56,40
2013,57,50,75,71,49,42
2013,59,52,65,63,48,53
2013,63,66,86,64,54,46
2013,63,64,81,52,38,50
2013,67,59,87,71,51,53
2013,57,55,74,71,48,41
2013,68,53,72,50,61,28
2013,74,59,81,59,52,49
2013,68,59,79,56,67,26
2013,72,48,84,48,87,33
2013,68,56,70,53,58,52
2013,67,50,69,71,56,50
2013,60,52,79,67,51,42
2013,51,55,75,69,58,42
2013,58,58,86,63,62,26
2013,58,61,77,59,62,48
2013,73,74,77,84,57,47
2013,72,62,82,72,55,29
2013,69,58,81,48,65,38
2013,65,52,80,72,74,50
2013,66,63,76,66,70,50
2013,61,52,86,59,61,28
2013,71,64,76,71,57,45
2013,64,68,65,58,56,48
2013,73,54,77,53,53,38
2013,63,59,79,64,48,41
2013,58,53,75,70,46,43
2013,64,53,71,73,64,43
2013,59,56,68,75,54,52
2013,59,63,68,62,53,58
2013,75,57,71,72,57,33
2013,60,49,85,67,66,40
2013,52,84,75,51,67,15
2013,57,65,92,55,50,35
2013,58,48,66,73,56,47
2013,58,56,88,67,52,49
2013,56,50,72,70,48,43
2013,51,66,67,58,59,48
2013,60,63,84,76,63,53
2013,52,47,81,69,59,54
2013,58,58,77,76,53,40
2013,55,63,88,54,59,55
2013,61,56,88,76,59,38
2013,66,55,65,62,57,41
2013,63,69,75,67,45,52
2013,53,48,77,73,61,49
2013,56,48,87,66,39,25
2013,57,60,74,58,56,47
2013,58,52,85,63,42,32
2013,59,56,90,64,52,44
2013,60,68,74,62,43,39
2013,54,59,71,57,52,51
2013,64,65,85,62,46,33
2013,60,62,77,68,50,39
2013,70,60,69,73,46,47
2013,67,56,80,70,63,43
2012,55,56,68,60,57,46
2012,58,42,82,72,57,46
2012,51,60,77,64,56,51
2012,65,62,62,63,48,42
2012,74,62,73,60,57,48
2012,55,53,70,68,49,34
2012,64,70,88,70,59,31
2012,61,50,74,86,50,53
2012,57,56,88,60,50,47
2012,49,72,67,54,49,19
2012,67,61,76,72,51,50
2012,73,74,79,61,83,39
2012,73,62,90,75,48,50
2012,46,63,68,68,58,48
2012,67,66,58,63,65,52
2012,51,57,78,73,61,38
2012,69,70,64,61,52,48
2012,61,66,77,70,50,42
2012,64,61,74,65,55,45
2012,62,64,78,70,45,41
2012,62,58,70,67,66,61
2012,47,59,68,62,63,52
2012,55,54,82,73,57,39
2012,56,54,76,75,78,39
2012,64,61,86,68,52,61
2012,50,51,81,80,55,56
2012,61,57,76,74,45,49
2012,63,54,77,59,54,45
2012,54,62,73,72,43,48
2012,54,63,75,57,44,61
2012,54,54,85,69,69,56
2012,61,59,73,70,56,48
2012,62,54,77,63,63,35
2012,65,56,62,62,41,39
2012,52,59,86,79,43,56
2012,71,68,59,56,68,55
2012,73,57,63,61,53,47
2012,61,58,66,68,56,51
2012,60,72,76,68,53,63
2012,52,66,67,62,46,69
2012,70,52,76,73,70,59
2012,55,68,81,50,69,25
2012,52,72,74,52,50,58
2012,60,63,79,61,68,42
2012,64,72,90,56,65,54
2012,58,55,74,66,57,51
2012,55,60,83,70,57,38
2012,64,52,77,63,47,54
