year,firstServe1
2013,57
2013,55
2013,64
2013,45
2013,49
2013,59
2013,52
2013,67
2013,57
2013,51
2013,63
2013,52
2013,68
2013,71
2013,64
2013,48
2013,56
2013,55
2013,59
2013,60
2013,65
2013,64
2013,46
2013,65
2013,63
2013,55
2013,58
2013,74
2013,59
2013,64
2013,57
2013,55
2013,58
2013,52
2013,65
2013,57
2013,84
2013,55
2013,57
2013,66
2013,63
2013,51
2013,62
2013,55
2013,44
2013,56
2013,59
2013,56
2013,58
2013,63
2013,73
2013,70
2013,62
2013,61
2013,58
2013,53
2013,57
2013,46
2013,50
2013,52
2013,52
2013,62
2013,59
2013,60
2013,43
2013,65
2013,51
2013,57
2013,64
2013,52
2013,57
2013,59
2013,63
2013,63
2013,67
2013,57
2013,68
2013,74
2013,68
2013,72
2013,68
2013,67
2013,60
2013,51
2013,58
2013,58
2013,73
2013,72
2013,69
2013,65
2013,66
2013,61
2013,71
2013,64
2013,73
2013,63
2013,58
2013,64
2013,59
2013,59
2013,75
2013,60
2013,52
2013,57
2013,58
2013,58
2013,56
2013,51
2013,60
2013,52
2013,58
2013,55
2013,61
2013,66
2013,63
2013,53
2013,56
2013,57
2013,58
2013,59
2013,60
2013,54
2013,64
2013,60
2013,70
2013,67
2012,55
2012,58
2012,51
2012,65
2012,74
2012,55
2012,64
2012,61
2012,57
2012,49
2012,67
2012,73
2012,73
2012,46
2012,67
2012,51
2012,69
2012,61
2012,64
2012,62
2012,62
2012,47
2012,55
2012,56
2012,64
2012,50
2012,61
2012,63
2012,54
2012,54
2012,54
2012,61
2012,62
2012,65
2012,52
2012,71
2012,73
2012,61
2012,60
2012,52
2012,70
2012,55
2012,52
2012,60
2012,64
2012,58
2012,55
2012,64
2012,47
2012,60
2012,70
2012,59
2012,59
2012,65
2012,62
2012,72
2012,66
2012,70
2012,65
2012,70
2012,55
2012,64
2012,61
2012,52
2012,62
2012,64
2012,58
2012,53
2012,42
2012,47
2012,62
2012,55
2012,54
2012,56
2012,52
2012,56
2012,46
2012,54
2012,50
2012,49
2012,57
2012,61
2012,58
2012,57
2012,65
2012,54
2012,53
2012,53
2012,57
2012,63
2012,59
2012,57
2012,66
2012,59
2012,66
2012,79
2012,57
2012,48
2012,77
2012,60
2012,55
2012,60
2012,56
2012,55
2012,59
2012,67
2012,68
2012,70
2012,57
2012,46
2012,63
2012,68
2012,53
2012,58
2012,44
2012,46
2012,67
2012,61
2012,60
2012,53
2012,59
2012,61
2012,55
2012,63
2012,55
2012,63
2011,51
2011,78
2011,68
